Date,Temperature,Humidity,WindSpeed,Rainfall,WeatherCondition
2026-01-01,22,55,12,0,Sunny
2026-01-02,24,52,10,0,Sunny
2026-01-03,21,60,15,2,Cloudy
2026-01-04,19,72,18,8,Rainy
2026-01-05,20,70,16,5,Rainy
2026-01-06,23,58,11,0,Sunny
2026-01-07,25,50,9,0,Sunny
2026-01-08,26,48,8,0,Sunny
2026-01-09,24,55,13,1,Cloudy
2026-01-10,22,62,14,4,Cloudy
2026-01-11,20,75,19,10,Rainy
2026-01-12,18,78,21,12,Rainy
2026-01-13,21,65,17,6,Cloudy
2026-01-14,23,59,12,0,Sunny
2026-01-15,27,45,8,0,Sunny
2026-01-16,28,42,7,0,Sunny
2026-01-17,25,52,11,2,Cloudy
2026-01-18,22,68,16,7,Rainy
2026-01-19,20,73,18,9,Rainy
2026-01-20,23,61,13,3,Cloudy
2026-01-21,26,49,9,0,Sunny
2026-01-22,29,40,8,0,Sunny
2026-01-23,27,45,10,0,Sunny
2026-01-24,24,57,14,2,Cloudy
2026-01-25,21,69,17,6,Rainy
2026-01-26,19,76,20,11,Rainy
2026-01-27,22,64,15,4,Cloudy
2026-01-28,25,51,10,0,Sunny
2026-01-29,28,43,9,0,Sunny
2026-01-30,26,47,11,1,Cloudy
